id,date,text,rat
amsj****,23.05.07.,"한달사용기 물론 모든사람이 같은 제품에 백퍼센트 만족할수 없고 만족도는 다르지만 사용기를 쓴다는거 자체가 전 재구매 의사가 있어서 작성해봅니당! 전문적인 재품애대한 상세설명이명이 나와있지만 제 개인적인 소견입니당...
우선 확실히 날씨가 풀리다보니 마스크의 재질과 두께 성능을 차이많이 살펴보시는거같아용
디럭스는 전 계절과상관 없이 근데 가장 편안한 두께라고 생각하여 주로 사용하구있습니다.
우선 많이들 얘기하시는 보풀감?
디럭스와 라이트핏의 안감이 달라서 확실히 차이는 있어요
디럭스는 도톰한감이 느껴지지만 답답하다는 감은 전혀없어요 제가느낀차이는 라이트핏은 안감이 얇으면서 약간 코팅된듯한?더 미끌거린다?이런 느낌이었어요 보풀은 개인마다 차이가 있는거같아요 남성분들 수염?아니면 요새 마스크를 껴도 비염증상이나 코질환때문에 코를 만지다 마스크를 만지게되면 보풀감이 더일어나는 사람이 있는거같아요ㅠㅠ저도 바꿔낄때가 있습니당
냄새는 확실히 저도 느끼긴 해요
개별포장한거보단 확연히 있지만 원치
않으시면 개별포장되어 다름제품을 찾으시는거밖엔... 디럭스보단 라이트핏이 덜 나긴 합니당
처음엔 훅들어오다 시간지나서 적응되면 못느끼는 정도? 인거같아요 전 ㅎㅎ
사이즈는 역시 두개다 같았고 디자인적인 디테일이 좀 차이가 있어요 큰의미는 없어보이더라구요
귀닿는 부분에 끈은 역시 불편하진 않았어요
개별포장 되있으면 예비로 가지고 다니기엔 너무 편하겠지만 전 집에있는 지퍼백을 이용한답니다
사이즈는 얼굴형에 따라 같은 사이즈를 사도 만족도가 다르지만 전 중형이 젤 편해용 얼굴에 밀착은 되고 위아래로 좀 움직이긴 해도 코에 잘 조절하면 괜찮습니다👏🏻
어느제품이던 본인한테 맞는 좋은 제품을 찾아서 사용하면 만족도가 높아지지않을까합니다!!
다들 미세먼지와 꽃가루를 조심하세용🫶🏻",평점5
tlsw****,22.12.03.,"성인 여자. 얼굴이 크거나 작지도 않은 통통.
친구한테 대형 받아서 써 봤더니 색이나 피부에 닿는 감촉은 너무 좋은데 다른 마스크의 대형보다 크더라고요. 다른 마스크는 대형 써도 크거나 작다고 느낀 적이 거의 없었는데 여기 대형은 큰편(세로가 길고 가로도 너무 벙벙)이길래 중형을 써 봤습니다. 다른 새부리형은 대형이어도 광대쪽 볼살이 눌려서 삐죽 튀어나왔었는데, 이건 그 광대쪽까지 감싸주는 길쭉한 타입이더라고요. 그래서 썼을때 처음으로 핏이 이쁘다고 느꼈습니다. 두께는 너무 얇지도 두껍지도 않았고, 어떤 새부리형은 모양 잡으려고 딱딱한 편인데 이건 감촉 부드러운데도 모양이 잘 잡혀있네요. 가격도 라이브방송할때 사면 50장에 9900원이라 가격도 저렴하고 19800원 이상이면 무료 배송도 되고, 좋았어요. 재구매의사 왕왕 있습니다. 파스텔 컬러 너무 좋아요.",평점5
euge****,22.09.16.,"살이 쪄서 얼굴도 커진(?) 40대 초반 아주미예요 ㅋㅋㅋ
하도 후기에 중형이 크다 크다 하셔서 보통은 대형을 편안하게 착용하는데 비움 디럭스는 중형으로 시켜봤네요~
확실히 가로 크기는 일반 대형보다 크거나 비슷해요
뭔가 귀 가까이까지 확실히 감싸주는 느낌
세로 길이가 짧아서 중형인듯한 느낌이네요
남편도 씌워봤는데 얼굴이 작아보이는 마스크라고 좋아하더라구요

여름용은 아니고 기존에 갖고 있던 아이랑 마스크랑 두께랑 질감이 매우 비슷해요
한여름만 아니면 착용하기 괜찮을 듯 하네요
잠깐 써봤는데 착용감은 매우 합격!
부드럽고 편하네요~
개인적으로 벌크 포장은 별로 맘에 들진 않아요
미밋마스크도 벌크인데 지퍼백이 너무 커서 정리하기 불편해서 사용중인 다른 지퍼백으로 다 옮겨 담았어요
유명한 마스크가 없어 집에 갖고 있던 미밋마스크랑(요즘 쓰고 있는거) 아이랑 마스크와 비교사진 남겨드리니 참고해주세요

아직 착용전이라 나중에 하루종일 혹은 외출시 착용해보고 다시 자세한 후기 남길게요~",평점5
mimi****,22.05.22.,"확실히 여름용이라 얇고 숨쉬기는 편해요

마스크 구매에 있어 아무래도 사이즈때문에 고민이 되는데 여자는 대략 중형사이즈면
된다고 해서 중형으로 구매했어요

크기는 에코브리즈L>에코플러스대형>디럭스중형
디럭스는 중형이라 크기비교가 그렇지만
같은대형이라도 에코플러스보다 브리즈가 확실히 더크네요 콧등도 더뜨고
착용시 크기체감면에서 에코플러스대형과 느낌이 비슷해요

저는 핑크베이지 중형
남편이는 그레이중형

하지만 전 실패했어요
전 얼굴형이
평면적이고 둥근편에 볼살이 있어서
에코브리즈나 에코플러스 같은 빳빳한건
커버가 좀 되는데
디럭스는 얇아서 그런지
제 평평한 얼굴형이 더 부각돼보여요
턱도 커보이고ㅠ
까무잡잡해서 핑크도 안어울리는것같고..

계속 번갈아보며 착용해보니 그레이는
쪼금 나아요
핑크가 살색과 비슷해 더 넙데데해보이나봐요

남편이는 유럽인처럼 얼굴이 좁고
코가높아서 중형써도 잘어울리고 편하대요
핑크는 안쓰겠지..

마스크를 기능성으로 썼다지만
요즘은 커버용으로 미적인효과도
중시하잖아요
그점에선 실패에요

제품은 싸고 좋아요
제 얼굴형에 맞지 않는것뿐..

핑크는 엄마드리고 전 비움의 다른라인
또 찾아봐야겠어요",평점5
gree****,22.08.05.,"마스크 비교, 분석 많이햇습니다
그러다가 에*카 라운드 중형에 장착을햇고 사용중 비움을 알게됐고 라이브방송 수없이 봤어요
물건살때 별점1점후기들부터 보는 습관이 잇어서 봤는데 불량이 너무 많다는, 싼값한다는 후기가 너무 많아서 진짜 고민 많이햇어요
한예슬마스크 애쉬그레이 중형 겨울버전을 당근으로 몇개 구입해서 사용한적이 잇어서 크기에있어서는 고민이 없엇구요
사놓은 마스크가 다 떨어져가서 늘 이용하던거 살려니 가격도 부담되고해서 치킨한마리 시켜먹엇더치지뭐싶어서 주문햇어요

핑크, 베이지 끼고 지나가는 사람들 보고 색감은 진짜 잘뺏규나싶엇거든요! 근데 저는 직업상 색감잇는거말고 기본 화이트색상 시켰는데 걱정햇던거와 달리 괜찮아서 다행이다싶어요

총 100매 구매중 남친 줄 25개는 뜯어보니 불량 하나 없이 다 정상, 제가 쓸꺼 뜯으니 마스크끈 접착하면서 옆쪽으로 더 붙은게 있지만 이건 가위로 잘라내면 사용하는데 문제없어서 정상

아직 나머지 50개를 안뜯어봐서, 불량이 잇는지 없는지 몰라서 별4점 줬어요!
오늘 착용하고 출근했는데 귀 하나도 안아픈건 인정
에*카 중형은 남친도, 저도 잘맞앗는데 이건 남친한테 조금 작은 느낌이 들어서 브리즈 구매해볼 생각이에요 :-)

불량때문에 고민하시는분들, 생각하는만큼 불량은 안나오니 걱정마세요 :-)",평점4
77fu****,23.01.11.,"푸름웰리스 비움 디럭스 중형 제품이 저한테는 잘 맞네요. 꽉 조여서 답답한 마스크를 싫어하고 코부분 와이어가 너무 딱딱해도 착용하기가 힘든데요. 디럭스 대형은 너무 크다는 후기가 많아서 착용 후기를 열심히 읽어본 결과가 좋아서 너무도 다행이고 기뻐요.
디럭스 제품은 에코 제품보다 도톰하구요. 에코 대형으로 착용했을땐 시간이 지나면 얼굴부위를 누르는 감이 있어서 귀 끈을 늘려보려고 많이 시도했어요. 끈이 하도 튼튼해서 늘어지진 않았지만... 디럭스 중형은 길이는 좀 짧지만 옆이 좀 더 넓어서 얼굴을 더 편안하게 감싸주는 것 같아요. 에코 대형 제품과 디럭스 중형 비교해봤어요. 외관상으로도 고급스럽고 마감도 잘되어 있어서 안감도 보풀이 일어나서 간지럽지 않고 착용감이 아주 좋아요. VIUUM의 마크도 찍혀있고 마스크 끈 연결부분에도 VIUUM마크로 매끈하게 연결되어 있어서 고급스러워요. 잘 착용하고 다음에 또 구입할게요.",평점5
pkyj****,22.12.04.,"잘 사용하고 있습니다.
사용하는 동안에 불량도 없었고 처음 구매했던 그 느낌 그대로 사용중이네요.
그래도 한달여간의 사용 후기를 적어보자면 처음 느낌대로 디럭스는 브리즈에 비해 두께감이 있고 안감이 털이 약간 일어나는 재질입니다.
첫 구매 후기에서도 언급했지만 알러지 비염이 있어 코가 많이 예민한 편이라 조금만 컨디션이 안좋거나 차가운 공기에 오래 노출되거나 건조하거나 자극을 받거나 하면 반응이 올라옵니다. 그래서 마스크도 많이 가리는 편이고, 디럭스는 색상과 크기는 마음에 들지만 안감이 약간은 저랑 안맞는다고 느꼈습니다.
반면에 에코브리즈는 가볍고 두께도 얇아 숨쉬기 편하고 안감이 털이 일어나는 그런 재질이 아니다 보니 너무 만족스럽습니다. 다만 에코브리즈도 살짝 아쉬운건 디럭스보다는 크기가 살짝 작다보니 얼굴에 너무 딱 맞는게 좀 아쉽네요. 살짝 여유있는 느낌이 더 좋을거 같다는게 제 생각입니다.
그럼에도 좋은 제품인것은 변함없습니다.
아주 약간의 아쉬움과 욕심인것이지 제품이 안좋다는게 아니니까요.
아직은 좀 남아있는데 잘 쓰고 또 주문할 듯하네요.
아주 좋습니다!",평점5
wind****,22.05.11.,"어머 어찌 이런색상을 뽑았는지 ~ 묘하게 너무 이쁘네요.사실 전 화이트는 잘 안쓰는 편이라 실버를 살까말까 고민하다가 리뷰가 너무 좋아서 샀는데 실물이 진짜 깡패네요 카메라에 색상이 다 안 담겨지는게 아쉽네용. 94에다 핏도 너무 이뿌고 두껍지도 않고 너무너무 이뻐용 .푸름은 정말 가성비가 갓 갓성비죠 ~말모말모 .저는 일단 제가 쓰기보다 울 아부지 선물로 드릴려고 대형을 샀는데 어머 왠일~~제가 써야될까봐영
엄마는 원래 소형을 주로 쓰시고 중형쓰실때도 이어걸이로 하시는데 요건 엄마한데 이어걸이까지 했는데도 마니 크긴하네용 하지만 너무 이뿌고 가격 너무좋아 굿~~",평점5
seoj****,22.09.08.,"✔️사이즈: 성인 얼굴 작은편인데 디럭스 사이즈 딱 맞아요! (일반성인 남자라면 작을 수 있을 것 같거나, 볼쪽은 안가려질 것 같아요)

✔️색상: 핑크로 샀는데 핑크보다는 살색과 주황 그 중간쯤? 볼터치색?이랄까? 톤다운느낌이 있어서 가을에 하기 좋은것 같아요.

✔️두깨: 살짝 두깨감 있음! 그래도 숨쉬기 안힘들어요.

✔️면: 안쪽이 피부에 부드럽게 닿는 면이라서 부풀일어나지 않아요! 화장안하면 2틀까지 사용가능~

💸라이브쇼핑 세일해서 50개 9,000원에 샀는데 1개당 198원(무배) 가성비 좋다고 생각해요!",평점5
susi****,23.01.10.,남편이랑 아빠께서 같은 사이즈 착용해서 여자꺼 구매하는김에 같이 구매해 봤구요~ 전에 사용하던 아0르 라이트핏과 거의 비슷한 사이즈입니다. 만져지는거나 보이는건 비움 디럭스가 두께감이 있는듯했으나 착용했을때는 숨쉬기 편하다고 하네요^^ 세로 길이가 짧으면 어쩌나 했는데 안정적입니다. 남편은 보통사이즈 남성얼굴 보다 긴편입니다. 300장 구매했는데 블랙라지는 좀 구겨져서 담겨있네요;; 잘 담아주세요^^ 25개들이 첨에 오픈하면 냄새가 나는듯하나 좀 열어두면 좋을듯하구요 막상 착용하면 냄새 민감하지않은이상 모를듯합니다.,평점5
soyl****,23.02.07.,"마스크가 똑 떨어져서 구매하려는데 마침 세일! 신상도 나왔다하고 비움 디럭스 원래 쓰던거라 믿고 구매!! 배송도 빠르게 왔고 제품도 잘 도착! 이젠 불량없는걸로만 가득 들어있길 기대해 봅니다.

기존 색상과 살짝 비교하면,
핑크, 코랄 색상은 비움디럭스가 조금 탁하고 진하고 코랄색은 환한 분홍빛이네요!
그리고 베이지는 비움디럭스가 조금더 환하고 라이트핏은 살짝 탁한색! 개인적으로 베이지는 비움디럭스 색이 더 예뻐요!

라이트핏은 일단 KF94인데 얇다고 해서 대중교통을 많이 타는 저에게 유용할거 같아 사봤어요!
비움라인은 뭐 좋을거 같은데 마스크 쓰는동안은 세일 많이 해서 쭉 사용하고 싶네요",평점5
0304****,23.03.02.,"개인적으로 라이트실버 색상이 가장 예쁘고 디자인도 마음에 듭니다. 실버라기엔 펄느낌이 없어서 그냥 라이트 그레이라고 하는게 더 적당할 것 같아요
양쪽 끝부분에 귀끈 보다 안쪽으로 세로로 박음질이 있어서 좀 더 특이하고 날렵한 느낌이 있어요 마스크 가로의 길이 충분히 길어서 일반여성들도 충분히 착용하기 좋습니다 중형이라기보다 대형 느낌이에요
얼굴이 작은 여성은 살짝 클수도 있을 것 같아요 저렴하게 잘 샀고 품질도 만족합니다
재구매 100%",평점5
sind****,22.08.18.,"여름용인 '에코브리즈'는 숨쉬기 편하네요. 색도 연한 핑크라 (살구빛) 튀지 않아서 넘 좋네요. 습한날 쓰라거 추천해준 디럭스가 조금 더진한 살구빛이며 두꺼워요. 크기도 조금더 크답니다. 오늘 배송받고 2시간 나갔다왔는데 좋아요. 마스크는 여름용이라고 너무 얇아도 저처럼 죙일(8시~18시) 끼고 말 많이하는 직업인 사람이 쓰기에 펄럭거려서 불편함이 있는데 요건 부리도 괜찮고 얼굴을 많이 감싸주네요. 대신 얼굴이 동그랗게 크게 보여기도해요.
200개 샀으니 올여름 잘 보낼것 같아요.",평점5
hana****,22.09.01.,"비움 핑베마스크 착용한걸 본 동생이 색상 이쁘다고 그래서 한봉주었는데 다써가길래 두봉 더 주었어요 중형크기가 맞는 얼굴인건 맞는데 칼국수끈으로 되어있지만 귀끈장력이 오래착용하면 귀통 느껴집니다 아예 얼굴이 매우작으면 헐렁하니 느껴질 이유가 없겠지만 그런경우는 그냥 얼작이라서 비움디럭스마스크 중형도 큰거라고 생각됩니다
보통얼굴크기기준 중형쓰시면 대충 코부위가 밀착이 안되니 크다고 느낄수도 있을거같네요 그리고 보통얼굴이라해도 볼살이 많거나 광대라든지 턱선이 갸름한지 넙데데한지에 따라 착용감 다를수있음 제얼굴은 비움마스크 브리즈 중대형이 잘맞아요
동생 얼굴크기는 연예인으로 치면 이승기랑 비슷합니다 실제로 드라마촬영한 식당서 만나 옆테이블에서 밥먹었음",평점4
